happiness_score,freedom,govt_trust,economic_status,social_support,life_expectancy,generosity,country,year,cluster,avg_happiness_score
7.587,1.369376541229348,2.5918397400527766,0.771453656170422,0.8769876057664993,1.40322583275368,0.9172686355514424,Switzerland,2015,1,6.939159999999999
7.561,1.1219382167476466,0.1105900502002716,0.5530045585702238,1.038995946686042,1.4328640894869882,2.1510315007840486,Iceland,2015,1,6.939159999999999
7.527,1.2556886624134311,3.1610152961479754,0.6058922348313243,0.9112586009610176,1.1237794121253453,1.307812276344498,Denmark,2015,1,6.939159999999999
7.522,1.3961266303625048,2.102704496533466,0.9140204356568674,0.8177922504305118,1.1661197788872144,1.3610682273617325,Norway,2015,1,6.939159999999999
7.427,1.1486883058808035,1.7914366142939044,0.6081916990165898,0.7928678902890436,1.255034549087139,2.346303321180576,Canada,2015,1,6.939159999999999
7.406,1.2088760064304065,2.538479531668852,0.5254109883470408,0.7772901652006263,1.183055925591962,0.3580811498704773,Finland,2015,1,6.939159999999999
7.378,1.0350004270648867,1.6847161975260547,0.6150900915723853,0.6588994545286522,1.1999920722967097,2.50607117423228,Netherlands,2015,1,6.939159999999999
7.364,1.329251407529613,2.751920365204551,0.6219884841281812,0.6869393596878036,1.2762047324680736,1.503084096741025,Sweden,2015,1,6.939159999999999
7.286,1.188813439580539,2.671880052628664,0.4334324209364309,0.7835212552359934,1.263502622439513,2.4971951823960743,New Zealand,2015,1,6.939159999999999
7.284,1.2690637069800097,2.0226641839575783,0.6265874124987117,0.7492502600414742,1.3651195026679983,2.1510315007840486,Australia,2015,1,6.939159999999999
7.2,1.0885006053312003,0.5196849811436955,0.6334858050545072,0.7118637198292719,1.1872899622681488,1.2190523579824395,Austria,2015,1,6.939159999999999
7.119,0.5668738672346415,0.2706706753520463,0.7668547277998916,0.5560864689450961,1.0687369353349156,1.8403717865168456,United States,2015,1,6.939159999999999
6.946,1.0350004270648867,2.218318281365303,1.1554641751097183,0.4719667534676405,1.3100770258775687,0.7663767743359441,Luxembourg,2015,1,6.939159999999999
6.94,1.048375471631465,1.409021787542443,0.6311863408692422,0.936182961102486,1.208460145649083,2.355179313016782,Ireland,2015,1,6.939159999999999
6.937,0.8209997139996313,0.8576329675752197,0.5668013436818153,0.6775927246347534,1.216928219001457,0.2515692478360076,Belgium,2015,1,6.939159999999999
6.901,1.2088760064304065,2.289465225877203,0.8404375817283796,0.1791055218053888,0.8443329914970108,0.6243609049566512,United Arab Emirates,2015,1,6.939159999999999
6.867,0.901249981399102,1.7113963017180172,0.4702238479006749,0.6744771796170695,1.2677366591156998,2.88773882318913,United Kingdom,2015,1,6.939159999999999
6.798,0.5468113003847738,3.232162240659876,1.0588866793285778,-0.1511422500690645,1.7588849135533786,1.0415325212583235,Singapore,2015,1,6.939159999999999
6.75,1.028312904781597,0.7953793911273073,0.6127906273871202,0.7180948098646389,1.1957580356205226,0.7841287580083552,Germany,2015,1,6.939159999999999
6.485,0.954750159665416,1.0443936969189564,0.0011331541065648,0.437695758273122,0.8570351015255715,0.3403291661980657,Uruguay,2015,1,6.939159999999999
6.455,0.6404366123508229,-0.8587870687743628,-0.2173159434936337,0.612166279263399,0.5437163874877413,3.39367035785286,Thailand,2015,1,6.939159999999999
6.302,0.954750159665416,0.0661232098803345,0.3345554609700255,0.7274414449176898,1.174587852239588,2.878862831352924,Malta,2015,1,6.939159999999999
6.003,1.315876362963034,1.59578251688618,-0.987636445557491,0.845832155589664,-0.0490487471784233,0.3048251988532424,Uzbekistan,2015,1,6.939159999999999
5.96,-0.0416906605446778,1.577995780758205,0.6035927706460592,0.4595045733969063,0.5818227175734234,-0.1744783603018708,Bahrain,2015,1,6.939159999999999
5.474,0.901249981399102,2.156064704917391,0.7461595501325041,-0.0327515393970904,1.7080764734391358,1.7871158354996108,Hong Kong,2015,1,6.939159999999999
7.278,-0.3225665964428255,-0.449692137830939,0.3851436730458609,0.4844289335383746,1.2889068424966343,1.2279283498186455,Israel,2015,0,5.683362068965517
7.226,1.155375828164093,-0.2006778320392898,-0.2426100495315514,0.5280465637859441,1.060268861982542,0.544476978430799,Costa Rica,2015,0,5.683362068965517
7.187,0.1388724411041308,0.7509125508073698,-0.0931448774893105,-0.4782744769258347,0.8655031748779448,-0.4673860908966622,Mexico,2015,0,5.683362068965517
6.983,0.1923726193704447,0.4129645643758458,-0.1851234448999202,0.5124688386975267,0.3701208837640787,-0.4230061317156332,Brazil,2015,0,5.683362068965517
6.81,-0.2155662399101978,-0.1562109917193523,-0.0402572012282096,0.5841263741042475,0.4717377639925642,-1.2040934133017434,Venezuela,2015,0,5.683362068965517
6.786,0.5401237781014846,-0.3162916168711269,0.0057320824770953,0.4034247630786028,0.7935245513827681,0.4468410682325351,Panama,2015,0,5.683362068965517
6.67,-0.135315972510727,0.0038696334324221,0.1046090424435007,0.1728744317700224,1.0560348253063552,1.2456803334910571,Chile,2015,0,5.683362068965517
6.575,0.5936239563677984,0.6886589743594576,0.4978174181238578,0.5965885541749817,1.4243960161346143,-0.6271539439483665,France,2015,0,5.683362068965517
6.574,-0.075128271961124,-0.3874385613830267,-0.0172625593755571,0.5592020139627792,0.7511841846208992,-0.6981618786380128,Argentina,2015,0,5.683362068965517
6.505,0.0184970400049251,-0.9032539090943004,0.2701704637825985,0.428349123220071,0.9967583118397384,-0.7691698133276593,Czech Republic,2015,0,5.683362068965517
6.477,0.4933111221184599,-0.6898130755586009,-0.3276902243863653,0.5342776538213111,0.3447166637069573,-0.0857184419398128,Colombia,2015,0,5.683362068965517
