year,happiness_score,rolling_mean
2015,5.466809160305344,5.469516795865633
2016,5.4684809160305345,5.466068702290076
2017,5.486129770992366,5.485552162849873
2018,5.524702290076336,5.524936386768448
2019,5.571320610687023,5.572501272264631
2020,5.626305343511451,5.6293689567430025
2021,5.651534351145038,5.652150127226464
2022,5.630977099236642,5.632066157760814
2023,5.5971374045801525,5.601343511450382
